Scenario,Nodes,Baseline_DER,Proposed_LBT_DER
1,500,94.9610077984403,96.80662329982259
1,1000,91.10978520286396,92.71948608137045
1,2000,81.66642044615158,85.93373493975903
1,3000,73.30220282204853,78.37945848736138
1,4000,65.12847017129356,72.59365342579332
1,5000,60.74474474474475,66.9055572426359
2,500,95.26662672258837,96.25212947189097
2,1000,90.27991387265457,92.54658385093167
2,2000,81.3602774845423,85.63845473311707
2,3000,73.38995046001415,79.23938262887118
2,4000,65.8759392957124,71.823163507109
2,5000,60.28478196380895,65.62077677889417
3,500,94.75,96.15160349854227
3,1000,89.90476190476191,92.74119448698316
3,2000,82.39578490624517,86.32571075401731
3,3000,74.14931437277806,78.90593047034766
3,4000,67.49075785582255,73.47378133169306
3,5000,60.35546778573192,67.26895372970333
