#nrNodes nrCollisions nrTransmissions OverallEnergy
10 0 1 0.17409638400000002
10 0 5 0.8704819200000001
500 58 1639 285.34397337600006
500 80 1655 288.12951552000004
1000 376 3452 600.980717568
1000 266 3411 593.8427658240001
1500 681 5062 881.2758958080001
1500 640 5130 893.1144499200001
2000 1279 6794 1182.8108328960002
2000 1001 6690 1164.70480896
2500 2010 8614 1499.6662517760003
2500 1516 8511 1481.7343242240001
3000 2695 10045 1748.7981772800001
3000 2087 9945 1731.3885388800002
3500 3284 11498 2001.7602232320003
3500 2745 11446 1992.707211264
4000 4386 13325 2319.8343168
4000 3638 13346 2323.4903408640002
4500 5521 15035 2617.5391334400006
4500 4489 14960 2604.4819046400003
5000 6654 16604 2890.696359936
5000 5756 16912 2944.3180462080004
500 84 1667 290.21867212800004
500 54 1691 294.39698534400003
1000 298 3352 583.5710791680001
1000 238 3269 569.1210792960002
2000 1241 6769 1178.4584232960003
2000 934 6640 1155.9999897600003
3000 2630 9851 1715.0234787840002
3000 2164 10009 1742.5307074560003
4000 4723 13544 2357.9614248960006
4000 3635 13267 2309.7367265280004
5000 6536 16650 2898.7047936000004
5000 5449 16465 2866.4969625600006
500 79 1669 290.566864896
500 66 1761 306.583732224
1000 316 3251 565.987344384
1000 252 3381 588.6198743040001
2000 1236 6631 1154.433122304
2000 974 6782 1180.721676288
3000 2632 9891 1721.9873341440002
3000 2058 9913 1725.8174545920003
4000 4632 13574 2363.1843164160005
4000 3804 13504 2350.9975695360004
5000 6693 16855 2934.39455232
5000 5851 17019 2962.9463592960005
500 84 1600 278.55421440000003
500 66 1715 298.5752985600001
1000 318 3150 548.4036096
1000 237 3265 568.4246937600001
2000 1136 6453 1123.443965952
2000 885 6472 1126.7517972480002
3000 2545 9845 1713.9789004800002
3000 2063 9780 1702.6626355200003
4000 4221 12984 2260.4674498560003
4000 3450 13006 2264.2975703040006
5000 6424 16204 2821.0578063360003
5000 5362 16382 2852.0469626880003
500 30 952 165.73975756800002
500 0 981 170.78855270400004
200 6 601 104.63192678400002
500 78 1749 304.4945756160001
1000 133 1979 344.53674393600005
1000 0 2054 357.59397273600007
1000 254 3264 568.2505973760001
2000 431 4049 704.9162588160001
2000 0 4064 707.5277045760001
1000 206 3199 556.934332416
2000 970 6624 1153.2144476160001
3000 946 5869 1021.7716776960001
3000 0 6024 1048.756617216
2000 1046 6828 1188.7301099520002
3000 2197 10146 1766.381912064
4000 1746 8123 1414.184927232
4000 0 8064 1403.9132405760001
3000 2097 10002 1741.312032768
4000 3633 13312 2317.571063808
5000 2539 9943 1731.0403461120002
5000 0 9984 1738.1782978560002
5000 5421 16586 2887.562625024
4000 3982 13554 2359.702388736
500 18 960 167.13252864
500 0 1006 175.14096230400003
500 54 1628 283.428913152
1000 132 1953 340.010237952
1000 0 1990 346.45180416000005
1000 260 3568 621.1758981120001
2000 497 4104 714.4915599360002
2000 0 3948 687.332524032
2000 883 6463 1125.184929792
3000 982 5949 1035.6993884160001
3000 0 6133 1067.7331230720001
3000 2108 10006 1742.008418304
4000 1685 8090 1408.4397465600002
4000 0 7974 1388.2445660160004
4000 3590 13265 2309.3885337600004
5000 2733 10170 1770.5602252800002
5000 0 10172 1770.9084180480002
5000 5612 16650 2898.7047936000004
200 4 645 112.29216768
500 38 1041 181.23433574400002
500 0 1008 175.48915507200002
500 92 1670 290.74096128
1000 129 1988 346.103611392
1000 0 2063 359.160840192
1000 283 3486 606.8999946240001
1000 264 3482 606.203609088
2000 491 4110 715.5361382400001
2000 0 4023 700.3897528320001
2000 943 6545 1139.4608332800003
3000 1022 6057 1054.501797888
2000 1002 6639 1155.825893376
3000 0 5968 1039.007219712
3000 2059 9720 1692.2168524800002
4000 1799 8093 1408.9620357120002
4000 0 7990 1391.03010816
3000 2070 9817 1709.1042017280001
4000 3709 13539 2357.0909429760004
5000 2552 10018 1744.0975749120003
5000 0 9963 1734.5222737920003
4000 3542 13240 2305.0361241600003
5000 5742 16857 2934.7427450880004
500 32 1017 177.05602252800003
500 40 1049 182.627106816
500 24 1019 177.40421529600005
