Scenario,Config,Approach,Nodes,DER
1,SN1,ALOHA,500,0.9702377764641075
1,SN1,ALOHA,1000,0.9392776729092283
1,SN1,ALOHA,2000,0.8851144779129634
1,SN1,ALOHA,3000,0.832633289717417
1,SN1,ALOHA,4000,0.7772602570223766
1,SN1,ALOHA,5000,0.7362883307088077
1,SN1,Classifier_LBT,500,0.9583330799122859
1,SN1,Classifier_LBT,1000,0.9262850898410656
1,SN1,Classifier_LBT,2000,0.8505990089428892
1,SN1,Classifier_LBT,3000,0.785810718884955
1,SN1,Classifier_LBT,4000,0.7276003108541043
1,SN1,Plain_LBT,500,1.0
1,SN1,Plain_LBT,1000,1.0
1,SN1,Plain_LBT,2000,0.9999752229930625
1,SN1,Plain_LBT,3000,1.0
1,SN1,Plain_LBT,4000,0.999987314474185
1,SN1,Plain_LBT,5000,0.9999899638699319
1,SN3,ALOHA,500,0.9986149287158534
1,SN3,ALOHA,1000,0.9977272586489795
1,SN3,ALOHA,2000,0.9946229226665162
1,SN3,ALOHA,3000,0.9920689871662546
1,SN3,ALOHA,4000,0.9906715176606552
1,SN3,ALOHA,5000,0.987081565243505
1,SN3,Classifier_LBT,500,0.9978719439917688
1,SN3,Classifier_LBT,1000,0.9965755511406137
1,SN3,Classifier_LBT,2000,0.994408212571042
1,SN3,Classifier_LBT,3000,0.9901555090749843
1,SN3,Classifier_LBT,4000,0.9875338533581832
1,SN3,Plain_LBT,500,1.0
1,SN3,Plain_LBT,1000,1.0
1,SN3,Plain_LBT,2000,1.0
1,SN3,Plain_LBT,3000,1.0
1,SN3,Plain_LBT,4000,1.0
1,SN3,Plain_LBT,5000,0.9999900149775337
2,SN1,ALOHA,500,0.9664338938430648
2,SN1,ALOHA,1000,0.9386116060123275
2,SN1,ALOHA,2000,0.8843347487112283
2,SN1,ALOHA,3000,0.8316484295203358
2,SN1,ALOHA,4000,0.7819515407201478
2,SN1,ALOHA,5000,0.7346572475431277
2,SN1,Classifier_LBT,500,0.9586467459148919
2,SN1,Classifier_LBT,1000,0.9236683734732054
2,SN1,Classifier_LBT,2000,0.8544544135803143
2,SN1,Classifier_LBT,3000,0.7885443884353784
2,SN1,Classifier_LBT,4000,0.7257926006658528
2,SN1,Plain_LBT,500,1.0
2,SN1,Plain_LBT,1000,0.9999501743896364
2,SN1,Plain_LBT,2000,1.0
2,SN1,Plain_LBT,3000,0.9999833388870376
2,SN1,Plain_LBT,4000,0.9999622531639906
2,SN1,Plain_LBT,5000,0.9999802254148275
2,SN3,ALOHA,500,0.9988046468116079
2,SN3,ALOHA,1000,0.9963907241621606
2,SN3,ALOHA,2000,0.9958455192111035
2,SN3,ALOHA,3000,0.9925541490888451
2,SN3,ALOHA,4000,0.9904709777064744
2,SN3,ALOHA,5000,0.9877985280364218
2,SN3,Classifier_LBT,500,0.9977307697538755
2,SN3,Classifier_LBT,1000,0.996786018610762
2,SN3,Classifier_LBT,2000,0.9934386596518717
2,SN3,Classifier_LBT,3000,0.990600465159025
2,SN3,Classifier_LBT,4000,0.986424759868826
2,SN3,Classifier_LBT,5000,0.9844668328455882
2,SN3,Plain_LBT,500,1.0
2,SN3,Plain_LBT,1000,0.9999485596707819
2,SN3,Plain_LBT,2000,1.0
2,SN3,Plain_LBT,3000,1.0
2,SN3,Plain_LBT,4000,0.9999874718115761
2,SN3,Plain_LBT,5000,1.0
3,SN1,ALOHA,500,0.9684188192255923
3,SN1,ALOHA,1000,0.937254977828047
3,SN1,ALOHA,2000,0.8834495430211531
3,SN1,ALOHA,3000,0.831953374005427
3,SN1,ALOHA,4000,0.7859659225143277
3,SN1,ALOHA,5000,0.7342172967960422
3,SN1,Classifier_LBT,500,0.9684454622719165
3,SN1,Classifier_LBT,1000,0.9249977676572954
3,SN1,Classifier_LBT,2000,0.8564715180945575
3,SN1,Classifier_LBT,3000,0.793672478503599
3,SN1,Classifier_LBT,4000,0.7348987988705453
3,SN1,Classifier_LBT,5000,0.676465889737868
3,SN1,Plain_LBT,500,1.0
3,SN1,Plain_LBT,1000,0.9999512195121951
3,SN1,Plain_LBT,2000,1.0
3,SN1,Plain_LBT,3000,1.0
3,SN1,Plain_LBT,4000,0.999987535834476
3,SN1,Plain_LBT,5000,0.9999901127150486
3,SN3,ALOHA,500,0.9994151449216607
3,SN3,ALOHA,1000,0.9980182146660004
3,SN3,ALOHA,2000,0.9939589769067148
3,SN3,ALOHA,3000,0.9920242641042079
3,SN3,ALOHA,4000,0.9905642062999437
3,SN3,ALOHA,5000,0.9874753729250536
3,SN3,Classifier_LBT,500,0.9984801144928259
3,SN3,Classifier_LBT,1000,0.9964639625161789
3,SN3,Classifier_LBT,2000,0.9927317300768717
3,SN3,Classifier_LBT,3000,0.9905169889098918
3,SN3,Classifier_LBT,4000,0.9880001242211683
3,SN3,Classifier_LBT,5000,0.9842687475579515
3,SN3,Plain_LBT,500,1.0
3,SN3,Plain_LBT,1000,1.0
3,SN3,Plain_LBT,2000,1.0
3,SN3,Plain_LBT,3000,1.0
3,SN3,Plain_LBT,4000,1.0
3,SN3,Plain_LBT,5000,1.0
