Scenario,Config,Nodes,ALOHA,Classifier_LBT,Plain_LBT
1,SN1,500,0.9702377764641076,0.958333079912286,1.0
1,SN1,1000,0.9392776729092284,0.9262850898410656,1.0
1,SN1,2000,0.8851144779129634,0.8505990089428892,0.9999752229930624
1,SN1,3000,0.832633289717417,0.785810718884955,1.0
1,SN1,4000,0.7772602570223766,0.7276003108541043,0.999987314474185
1,SN1,5000,0.7362883307088077,0.6732,0.999989963869932
1,SN3,500,0.9986149287158534,0.9978719439917688,1.0
1,SN3,1000,0.9977272586489796,0.9965755511406136,1.0
1,SN3,2000,0.9946229226665162,0.994408212571042,1.0
1,SN3,3000,0.9920689871662546,0.9901555090749844,1.0
1,SN3,4000,0.9906715176606552,0.9875338533581832,1.0
1,SN3,5000,0.987081565243505,0.9851,0.9999900149775336
2,SN1,500,0.9664338938430648,0.958646745914892,1.0
2,SN1,1000,0.9386116060123276,0.9236683734732054,0.9999501743896364
2,SN1,2000,0.8843347487112283,0.8544544135803143,1.0
2,SN1,3000,0.8316484295203358,0.7885443884353784,0.9999833388870376
2,SN1,4000,0.7819515407201478,0.7257926006658528,0.9999622531639906
2,SN1,5000,0.7346572475431277,0.66,0.9999802254148276
2,SN3,500,0.998804646811608,0.9977307697538756,1.0
2,SN3,1000,0.9963907241621606,0.996786018610762,0.999948559670782
2,SN3,2000,0.9958455192111036,0.9934386596518716,1.0
2,SN3,3000,0.9925541490888452,0.990600465159025,1.0
2,SN3,4000,0.9904709777064744,0.986424759868826,0.999987471811576
2,SN3,5000,0.9877985280364218,0.9844668328455882,1.0
3,SN1,500,0.9684188192255924,0.9684454622719164,1.0
3,SN1,1000,0.937254977828047,0.9249977676572954,0.9999512195121952
3,SN1,2000,0.8834495430211531,0.8564715180945575,1.0
3,SN1,3000,0.831953374005427,0.793672478503599,1.0
3,SN1,4000,0.7859659225143277,0.7348987988705453,0.999987535834476
3,SN1,5000,0.7342172967960422,0.676465889737868,0.9999901127150486
3,SN3,500,0.9994151449216608,0.998480114492826,1.0
3,SN3,1000,0.9980182146660004,0.9964639625161787,1.0
3,SN3,2000,0.9939589769067148,0.9927317300768717,1.0
3,SN3,3000,0.992024264104208,0.9905169889098918,1.0
3,SN3,4000,0.9905642062999436,0.9880001242211685,1.0
3,SN3,5000,0.9874753729250536,0.9842687475579516,1.0
