Scenario,Config,Approach,Nodes,DER
1,SN1,ALOHA,500,0.9685349065880039
1,SN1,ALOHA,500,0.9764474975466143
1,SN1,ALOHA,500,0.9618684461391802
1,SN1,ALOHA,500,0.9717171717171718
1,SN1,ALOHA,500,0.9642147117296223
1,SN1,ALOHA,500,0.9772256728778468
1,SN1,ALOHA,500,0.974308300395257
1,SN1,ALOHA,500,0.9738955823293173
1,SN1,ALOHA,500,0.9584569732937686
1,SN1,ALOHA,500,0.9757085020242915
1,SN1,ALOHA,1000,0.9508790072388832
1,SN1,ALOHA,1000,0.9357390014829461
1,SN1,ALOHA,1000,0.9354838709677419
1,SN1,ALOHA,1000,0.9517412935323383
1,SN1,ALOHA,1000,0.9375
1,SN1,ALOHA,1000,0.9373191899710704
1,SN1,ALOHA,1000,0.9348791317217563
1,SN1,ALOHA,1000,0.9375936095856215
1,SN1,ALOHA,1000,0.9353671147880042
1,SN1,ALOHA,1000,0.9362745098039216
1,SN1,ALOHA,2000,0.8817805886645586
1,SN1,ALOHA,2000,0.8803606237816765
1,SN1,ALOHA,2000,0.8861227508010845
1,SN1,ALOHA,2000,0.8835531226673302
1,SN1,ALOHA,2000,0.885960591133005
1,SN1,ALOHA,2000,0.8836345630106462
1,SN1,ALOHA,2000,0.8868205510052122
1,SN1,ALOHA,2000,0.8785485065415947
1,SN1,ALOHA,2000,0.8881347410759175
1,SN1,ALOHA,2000,0.8962287404486073
1,SN1,ALOHA,3000,0.8230088495575221
1,SN1,ALOHA,3000,0.8317009467841985
1,SN1,ALOHA,3000,0.844153665492367
1,SN1,ALOHA,3000,0.8343066911396629
1,SN1,ALOHA,3000,0.8323554065381391
1,SN1,ALOHA,3000,0.8275287452091318
1,SN1,ALOHA,3000,0.8283433133732535
1,SN1,ALOHA,3000,0.827367012378722
1,SN1,ALOHA,3000,0.8362661303837774
1,SN1,ALOHA,3000,0.8413021363173957
1,SN1,Plain_LBT,500,1.0
1,SN1,Plain_LBT,500,1.0
1,SN1,Plain_LBT,500,1.0
1,SN1,Plain_LBT,500,1.0
1,SN1,Plain_LBT,500,1.0
1,SN1,Plain_LBT,500,1.0
1,SN1,Plain_LBT,500,1.0
1,SN1,Plain_LBT,500,1.0
1,SN1,Plain_LBT,500,1.0
1,SN1,ALOHA,4000,0.7870058610799352
1,SN1,ALOHA,4000,0.7826194909993792
1,SN1,ALOHA,4000,0.7927623340846481
1,SN1,Plain_LBT,500,1.0
1,SN1,Plain_LBT,1000,1.0
1,SN1,Plain_LBT,1000,1.0
1,SN1,Plain_LBT,1000,1.0
1,SN1,Plain_LBT,1000,1.0
1,SN1,Plain_LBT,1000,1.0
1,SN1,ALOHA,4000,0.7788092585716054
1,SN1,ALOHA,4000,0.7700037216226274
1,SN1,Plain_LBT,1000,1.0
1,SN1,ALOHA,4000,0.7716573647173016
1,SN1,ALOHA,4000,0.7664441147378833
1,SN1,Plain_LBT,1000,1.0
1,SN1,ALOHA,4000,0.7676056338028169
1,SN1,Plain_LBT,1000,1.0
1,SN1,ALOHA,4000,0.776594427244582
1,SN1,ALOHA,4000,0.779100363362987
1,SN1,Plain_LBT,1000,1.0
1,SN1,Plain_LBT,1000,1.0
1,SN1,Plain_LBT,2000,1.0
1,SN1,Plain_LBT,2000,1.0
1,SN1,Plain_LBT,2000,1.0
1,SN1,Plain_LBT,2000,1.0
1,SN1,Plain_LBT,2000,0.9997522299306244
