Scenario,K_intervals,Accuracy,Sensitivity,Specificity,F1_Score
1,1,0.6929,0.7807239057239057,0.6907625174137507,0.10778617083091226
1,2,0.69949,0.7790404040404041,0.697553880193395,0.10967913963203271
1,3,0.69935,0.7790404040404041,0.6974104728345489,0.10963366600527141
1,4,0.70091,0.7756734006734006,0.6990903876096042,0.10971870814109243
2,1,0.68248,0.7849321068769164,0.6800863718697873,0.10142630744849446
2,2,0.68917,0.7761717038983793,0.6871373456000491,0.10234787882288388
2,3,0.69143,0.7717915024091109,0.6895524831912564,0.10249847299380471
2,4,0.69209,0.7700394218134035,0.6902688375615297,0.10248637304340222
3,1,0.69575,0.7556521739130435,0.6943398157625383,0.10253384855903956
3,2,0.69279,0.7565217391304347,0.6912896622313204,0.10175141077746265
3,3,0.69171,0.7591304347826087,0.6901228249744115,0.10174528714198304
3,4,0.69111,0.76,0.6894882292732856,0.10167224080267559
